,repository,lines_of_code,cyclomatic_complexity,tlag,deps_depth
215,https://github.com/mgechev/codelyzer,9123,3708,317,4.0
216,https://github.com/royriojas/eslint-friendly-formatter,569,210,619,8.0
217,https://github.com/caolan/async,22423,8180,388,9.0
218,https://github.com/nock/nock,13207,6502,289,9.0
219,https://github.com/webpack/json-loader,11,9,737,9.0
220,https://github.com/reduxjs/redux,9040,3336,287,10.0
221,https://github.com/gotwarlost/istanbul,14550,6236,1275,10.0
222,https://github.com/mysticatea/npm-run-all,4642,1928,516,9.0
223,https://github.com/jasmine/jasmine,33798,15169,95,9.0
224,https://github.com/koajs/koa,6292,3243,345,9.0
225,https://github.com/tj/commander.js,2497,1326,340,8.0
226,https://github.com/sinonjs/sinon,1717338,770757,311,10.0
227,https://github.com/facebook/prop-types,4904,1614,489,9.0
228,https://github.com/tj/co,950,366,1485,6.0
229,https://github.com/substack/watchify,1490,883,903,9.0
230,https://github.com/kentcdodds/cross-env,646,310,614,11.0
231,https://github.com/domenic/sinon-chai,2424,1170,1179,5.0
232,https://github.com/spalger/gulp-jshint,1176,683,473,11.0
233,https://github.com/webpack-contrib/source-map-loader,442,199,746,9.0
234,https://github.com/yargs/yargs,12572,5413,170,10.0
235,https://github.com/Realytics/fork-ts-checker-webpack-plugin,2460,1188,316,9.0
236,https://github.com/klei/gulp-inject,2323,1098,1119,11.0
237,https://github.com/webpack-contrib/file-loader,777,289,595,9.0
238,https://github.com/ember-cli/ember-cli-htmlbars-inline-precompile,1131,545,615,11.0
239,https://github.com/jinder/path,628,349,686,2.0
240,https://github.com/visionmedia/supertest,1632,750,816,8.0
241,https://github.com/expressjs/body-parser,3417,1551,725,8.0
242,https://github.com/karma-runner/karma-html2js-preprocessor,130,91,1885,9.0
243,https://github.com/petkaantonov/bluebird,43480,19745,357,9.0
244,https://github.com/standard/standard,212,129,212,7.0
245,https://github.com/jashkenas/underscore,11286,7099,739,11.0
246,https://github.com/isaacs/node-glob,3450,1932,683,9.0
247,https://github.com/dlmanning/gulp-sass,749,460,1111,11.0
248,https://github.com/standard/eslint-plugin-standard,2310,560,545,8.0
249,https://github.com/survivejs/webpack-merge,2805,912,733,11.0
250,https://github.com/sindresorhus/ora,601,362,82,10.0
251,https://github.com/rbuckton/reflect-metadata,2097,870,841,11.0
252,https://github.com/expressjs/express,17460,8522,532,5.0
253,https://github.com/styled-components/polished,34560,7139,370,10.0
254,https://github.com/sindresorhus/gulp-mocha,206,119,1275,10.0
255,https://github.com/eslint/eslint,312692,79454,260,9.0
256,https://github.com/babel/babel-preset-env,2534,746,748,11.0
257,https://github.com/karma-runner/karma-phantomjs-launcher,270,145,952,11.0
258,https://github.com/TypeStrong/ts-loader,164759,110763,341,9.0
259,https://github.com/aws/aws-sdk-js,332140,83798,257,10.0
260,https://github.com/istanbuljs/babel-plugin-istanbul,361,138,266,10.0
261,https://github.com/rollup/rollup-plugin-babel,683,254,423,9.0
262,https://github.com/babel/gulp-babel,243,127,444,7.0
263,https://github.com/aredridel/node-bin-gen,216,112,707,6.0
264,https://github.com/ember-cli/ember-cli-qunit,346,157,584,11.0
265,https://github.com/ember-template-lint/ember-cli-template-lint,1095,561,555,10.0
266,https://github.com/request/request,11643,5910,538,10.0
267,https://github.com/pagekit/vue-resource,6937,3502,636,10.0
268,https://github.com/stylelint/stylelint,114180,33919,234,9.0
269,https://github.com/ember-cli/loader.js,3349,1814,628,9.0
270,https://github.com/sindresorhus/grunt-shell,204,88,1071,11.0
271,https://github.com/tkellen/js-matchdep,178,101,1962,10.0
272,https://github.com/prettier/tslint-config-prettier,2,2,289,11.0
273,https://github.com/bripkens/connect-history-api-fallback,462,271,801,10.0
274,https://github.com/ant-design/babel-plugin-import,991,654,610,12.0
275,https://github.com/blakeembrey/tslint-config-standard,209,44,664,8.0
276,https://github.com/epeli/underscore.string,3866,2598,1472,6.0
277,https://github.com/bruce/node-temp,424,229,522,5.0
278,https://github.com/expressjs/compression,1006,475,488,10.0
